               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.009233,           0.0043374,           0.0040633,             0.34743,             0.45283,             0.41899,             0.20668,           0.0096075,            0.003931,           0.0038866,           0.0069134,           0.0069134,           0.0069134
                  66,           0.0090011,           0.0044301,           0.0037582,             0.28785,             0.62033,             0.41701,             0.21119,           0.0096044,           0.0039224,           0.0037909,           0.0068316,           0.0068316,           0.0068316
                  67,           0.0089392,           0.0044633,           0.0037621,             0.29052,              0.6412,             0.44104,             0.22693,           0.0093906,           0.0039503,           0.0036623,           0.0067495,           0.0067495,           0.0067495
                  68,           0.0088235,           0.0043061,           0.0035748,             0.28315,             0.63988,             0.42491,             0.20637,           0.0094643,           0.0039648,           0.0036236,           0.0066671,           0.0066671,           0.0066671
                  69,            0.008914,           0.0044774,           0.0038026,             0.27666,             0.65922,             0.42278,             0.20823,           0.0096886,           0.0039744,           0.0036852,           0.0065843,           0.0065843,           0.0065843
                  70,           0.0087503,           0.0046255,           0.0036801,               0.307,             0.62783,             0.42168,             0.20739,           0.0096756,           0.0039796,            0.003789,           0.0065013,           0.0065013,           0.0065013
                  71,           0.0088423,           0.0044414,           0.0037998,             0.31485,             0.60072,              0.4145,             0.21037,           0.0096658,           0.0040006,           0.0038309,           0.0064181,           0.0064181,           0.0064181
                  72,           0.0087706,            0.004352,            0.003453,              0.3203,             0.60833,             0.41587,             0.21007,           0.0095485,           0.0039816,           0.0038086,           0.0063347,           0.0063347,           0.0063347
                  73,           0.0089446,           0.0046451,           0.0034603,              0.3383,             0.62966,             0.43954,             0.22831,           0.0094321,           0.0039636,            0.003734,           0.0062512,           0.0062512,           0.0062512
                  74,           0.0084472,           0.0043915,           0.0035475,             0.34407,             0.60793,             0.44147,             0.21036,           0.0093979,           0.0039671,           0.0037444,           0.0061675,           0.0061675,           0.0061675
                  75,           0.0086529,           0.0043403,           0.0034513,              0.3051,             0.62289,             0.43764,             0.21796,           0.0096577,           0.0039678,           0.0037557,           0.0060838,           0.0060838,           0.0060838
                  76,           0.0085503,           0.0043586,           0.0033885,             0.29244,             0.63157,             0.42902,             0.20257,           0.0096451,           0.0038873,           0.0035631,               0.006,               0.006,               0.006
                  77,           0.0085098,           0.0044891,           0.0035029,             0.30145,             0.62469,             0.41533,             0.21104,           0.0094303,             0.00392,           0.0034967,           0.0059162,           0.0059162,           0.0059162
                  78,           0.0084774,           0.0041733,           0.0032371,             0.33192,             0.61216,             0.42425,             0.21452,           0.0094345,           0.0039212,           0.0035429,           0.0058325,           0.0058325,           0.0058325
                  79,           0.0084243,           0.0042734,           0.0036102,             0.37026,             0.60689,             0.42565,             0.21106,           0.0095399,           0.0038825,           0.0035985,           0.0057488,           0.0057488,           0.0057488
                  80,           0.0083257,           0.0045482,           0.0031672,             0.35771,             0.57973,             0.43117,             0.23261,           0.0095848,           0.0039185,           0.0036877,           0.0056653,           0.0056653,           0.0056653
                  81,           0.0084819,           0.0042702,           0.0034046,             0.49006,             0.59547,             0.53981,             0.28868,           0.0095404,           0.0039511,           0.0035866,           0.0055819,           0.0055819,           0.0055819
                  82,           0.0082406,           0.0043646,           0.0030866,             0.46297,             0.58573,             0.54957,             0.31014,           0.0093622,           0.0039306,           0.0035288,           0.0054987,           0.0054987,           0.0054987
                  83,           0.0084273,           0.0044846,           0.0032798,             0.53593,             0.58831,             0.56443,             0.32325,           0.0091888,            0.003923,           0.0034342,           0.0054157,           0.0054157,           0.0054157
                  84,           0.0080833,           0.0041839,           0.0030237,             0.53161,             0.59184,             0.56442,             0.32532,           0.0092733,           0.0039105,           0.0032892,           0.0053329,           0.0053329,           0.0053329
                  85,             0.00831,           0.0043052,           0.0030996,             0.48149,             0.59085,             0.49476,             0.25872,           0.0091978,           0.0039151,           0.0032276,           0.0052505,           0.0052505,           0.0052505
